0	0	1	5	200	1
1	0	2	13	76	1
2	0	3	12	83	1
3	0	4	18	55	1
4	5	6	9	111	1
5	5	7	6	166	1
6	5	3	8	125	1
7	8	6	4	250	1
8	9	3	5	200	1
9	11	12	4	250	1
10	11	5	5	200	1
11	11	13	2	500	1
12	11	6	15	66	1
13	14	3	2	500	1
14	15	16	4	250	1
15	17	1	14	71	1
16	17	18	6	166	1
17	14	19	2	500	1
18	2	0	13	76	1
19	2	20	11	90	1
20	2	21	12	83	1
21	22	7	9	111	1
22	22	23	4	250	1
23	22	24	2	500	1
24	25	20	2	500	1
25	27	28	2	500	1
26	20	28	2	500	1
27	29	18	4	250	1
28	8	19	11	90	1
29	8	4	2	500	1
30	1	0	5	200	1
31	1	17	14	71	1
32	1	8	4	250	1
33	1	6	12	83	1
34	1	30	2	500	1
35	8	3	31	32	1
36	10	26	15	66	1
37	10	4	13	76	1
38	19	31	4	250	1
39	19	3	8	125	1
40	19	6	13	76	1
41	19	4	16	62	1
42	19	8	11	90	1
43	2	32	4	250	1
44	2	33	13	76	1
45	4	20	10	100	1
46	4	8	2	500	1
47	4	6	15	66	1
48	4	34	10	100	1
49	4	19	16	62	1
50	20	25	2	500	1
51	20	2	11	90	1
52	20	4	10	100	1
53	20	8	27	37	1
54	12	11	4	250	1
55	8	26	18	55	1
56	8	1	4	250	1
57	8	28	9	111	1
58	8	31	13	76	1
59	28	26	24	41	1
60	28	8	9	111	1
61	28	6	13	76	1
62	28	27	2	500	1
63	4	32	7	142	1
64	4	28	12	83	1
65	4	10	13	76	1
66	4	18	22	45	1
67	4	0	18	55	1
68	26	6	12	83	1
69	26	8	18	55	1
70	26	18	13	76	1
71	23	22	4	250	1
72	0	18	6	166	1
73	28	4	12	83	1
74	28	32	13	76	1
75	35	21	4	250	1
76	3	6	7	142	1
77	3	9	5	200	1
78	3	0	12	83	1
79	3	19	8	125	1
80	3	5	8	125	1
81	3	26	9	111	1
82	13	11	2	500	1
83	26	10	15	66	1
84	26	28	24	41	1
85	30	1	2	500	1
86	20	19	2	500	1
87	15	36	4	250	1
88	22	36	6	166	1
89	3	37	4	250	1
90	3	14	2	500	1
91	3	38	2	500	1
92	26	34	4	250	1
93	19	14	2	500	1
94	16	36	4	250	1
95	6	3	7	142	1
96	26	3	9	111	1
97	8	39	4	250	1
98	8	0	15	66	1
99	8	20	27	37	1
100	12	23	4	250	1
101	31	19	4	250	1
102	32	2	4	250	1
103	32	4	7	142	1
104	7	40	4	250	1
105	7	5	6	166	1
106	7	22	9	111	1
107	32	28	13	76	1
108	31	8	13	76	1
109	6	11	15	66	1
110	18	26	13	76	1
111	18	0	6	166	1
112	18	4	22	45	1
113	18	29	4	250	1
114	36	15	4	250	1
115	36	22	6	166	1
116	34	26	4	250	1
117	34	41	4	250	1
118	34	6	15	66	1
119	34	4	10	100	1
120	38	3	2	500	1
121	40	7	4	250	1
122	37	3	4	250	1
123	6	26	12	83	1
124	6	8	4	250	1
125	6	1	12	83	1
126	6	28	13	76	1
127	6	31	17	58	1
128	6	4	15	66	1
129	41	34	4	250	1
130	21	35	4	250	1
131	21	18	14	71	1
132	35	18	4	250	1
133	16	11	4	250	1
134	16	15	4	250	1
135	24	22	2	500	1
136	18	1	13	76	1
137	21	2	12	83	1
138	21	42	4	250	1
139	18	17	6	166	1
140	18	21	14	71	1
141	18	33	4	250	1
142	1	18	13	76	1
143	6	19	13	76	1
144	6	5	9	111	1
145	43	0	2	500	1
146	5	11	5	200	1
147	36	16	4	250	1
148	7	11	5	200	1
149	11	7	5	200	1
150	11	16	4	250	1
151	39	8	4	250	1
152	31	6	17	58	1
153	19	20	2	500	1
154	6	34	15	66	1
155	18	35	4	250	1
156	0	8	15	66	1
157	0	43	2	500	1
158	2	10	26	38	1
159	42	21	4	250	1
160	10	2	26	38	1
161	3	8	31	32	1
162	33	2	13	76	1
163	33	18	4	250	1
164	23	12	4	250	1
165	28	20	2	500	1
