In time 71:	1233 flows created	5 flows accepted	1228 flows refused	0 flows deleted	46472 in switches	
In time 72:	1224 flows created	17 flows accepted	1207 flows refused	0 flows deleted	46559 in switches	
In time 73:	1221 flows created	11 flows accepted	1210 flows refused	0 flows deleted	46608 in switches	
In time 74:	1232 flows created	16 flows accepted	1216 flows refused	0 flows deleted	46678 in switches	
In time 75:	1229 flows created	17 flows accepted	1212 flows refused	0 flows deleted	46766 in switches	
In time 76:	1219 flows created	10 flows accepted	1209 flows refused	0 flows deleted	46811 in switches	
In time 77:	1234 flows created	12 flows accepted	1222 flows refused	0 flows deleted	46854 in switches	
In time 78:	1234 flows created	14 flows accepted	1220 flows refused	0 flows deleted	46898 in switches	
In time 79:	1225 flows created	9 flows accepted	1216 flows refused	0 flows deleted	46946 in switches	
In time 80:	1235 flows created	10 flows accepted	1225 flows refused	0 flows deleted	46992 in switches	
In time 81:	222 flows created	0 flows accepted	222 flows refused	0 flows deleted	46992 in switches	

Control message is 46992


