In time 71:	1236 flows created	4 flows accepted	1232 flows refused	0 flows deleted	48838 in switches	
In time 72:	1220 flows created	9 flows accepted	1211 flows refused	0 flows deleted	48903 in switches	
In time 73:	1228 flows created	3 flows accepted	1225 flows refused	0 flows deleted	48918 in switches	
In time 74:	1228 flows created	6 flows accepted	1222 flows refused	0 flows deleted	48953 in switches	
In time 75:	1224 flows created	1 flows accepted	1223 flows refused	0 flows deleted	48959 in switches	
In time 76:	1234 flows created	6 flows accepted	1228 flows refused	0 flows deleted	49003 in switches	
In time 77:	1235 flows created	9 flows accepted	1226 flows refused	0 flows deleted	49063 in switches	
In time 78:	1221 flows created	8 flows accepted	1213 flows refused	0 flows deleted	49114 in switches	
In time 79:	1230 flows created	5 flows accepted	1225 flows refused	0 flows deleted	49153 in switches	
In time 80:	1234 flows created	3 flows accepted	1231 flows refused	0 flows deleted	49179 in switches	
In time 81:	190 flows created	0 flows accepted	190 flows refused	0 flows deleted	49179 in switches	

Control message is 49179
